category,channel,sales_index
生鮮,門市,46
生鮮,超商取貨,24
生鮮,官網,55
生鮮,行動應用程式,88
生鮮,外送平台,11
生鮮,電商平台A,14
生鮮,電商平台B,73
乳品,門市,17
乳品,超商取貨,51
乳品,官網,79
乳品,行動應用程式,12
乳品,外送平台,69
乳品,電商平台A,32
乳品,電商平台B,9
飲料,門市,16
飲料,超商取貨,60
飲料,官網,58
飲料,行動應用程式,13
飲料,外送平台,35
飲料,電商平台A,16
飲料,電商平台B,75
零食,門市,59
零食,超商取貨,12
零食,官網,77
零食,行動應用程式,20
零食,外送平台,33
零食,電商平台A,85
零食,電商平台B,85
冷凍,門市,79
冷凍,超商取貨,12
冷凍,官網,78
冷凍,行動應用程式,79
冷凍,外送平台,55
冷凍,電商平台A,11
冷凍,電商平台B,33
日用品,門市,10
日用品,超商取貨,76
日用品,官網,22
日用品,行動應用程式,42
日用品,外送平台,58
日用品,電商平台A,23
日用品,電商平台B,74
清潔,門市,20
清潔,超商取貨,78
清潔,官網,44
清潔,行動應用程式,76
清潔,外送平台,92
清潔,電商平台A,28
清潔,電商平台B,18
美妝,門市,79
美妝,超商取貨,78
美妝,官網,86
美妝,行動應用程式,29
美妝,外送平台,52
美妝,電商平台A,17
美妝,電商平台B,75
母嬰,門市,96
母嬰,超商取貨,13
母嬰,官網,77
母嬰,行動應用程式,12
母嬰,外送平台,84
母嬰,電商平台A,31
母嬰,電商平台B,68
寵物,門市,92
寵物,超商取貨,73
寵物,官網,59
寵物,行動應用程式,45
寵物,外送平台,64
寵物,電商平台A,79
寵物,電商平台B,63
家電小物,門市,51
家電小物,超商取貨,43
家電小物,官網,36
家電小物,行動應用程式,28
家電小物,外送平台,94
家電小物,電商平台A,36
家電小物,電商平台B,15
文具,門市,78
文具,超商取貨,43
文具,官網,72
文具,行動應用程式,68
文具,外送平台,48
文具,電商平台A,98
文具,電商平台B,62
