month,year,month_num,rentals
2017-01,2017,1,31026
2017-02,2017,2,34135
2017-03,2017,3,44736
2017-04,2017,4,60047
2017-05,2017,5,70256
2017-06,2017,6,77967
2017-07,2017,7,85433
2017-08,2017,8,86516
2017-09,2017,9,77139
2017-10,2017,10,56880
2017-11,2017,11,48119
2017-12,2017,12,37655
2018-01,2018,1,36736
2018-02,2018,2,40739
2018-03,2018,3,51005
2018-04,2018,4,62088
2018-05,2018,5,80508
2018-06,2018,6,89437
2018-07,2018,7,89529
2018-08,2018,8,94761
2018-09,2018,9,75209
2018-10,2018,10,63194
2018-11,2018,11,48469
2018-12,2018,12,38639
2019-01,2019,1,37869
2019-02,2019,2,44758
2019-03,2019,3,56954
2019-04,2019,4,73971
2019-05,2019,5,82284
2019-06,2019,6,99927
2019-07,2019,7,105051
2019-08,2019,8,92371
2019-09,2019,9,83790
2019-10,2019,10,69440
2019-11,2019,11,55984
2019-12,2019,12,40542
2020-01,2020,1,83946
2020-02,2020,2,81407
2020-03,2020,3,77023
2020-04,2020,4,70825
2020-05,2020,5,72898
2020-06,2020,6,70680
2020-07,2020,7,63035
2020-08,2020,8,66690
2020-09,2020,9,66133
2020-10,2020,10,77803
2020-11,2020,11,83364
2020-12,2020,12,80417
2021-01,2021,1,45908
2021-02,2021,2,46786
2021-03,2021,3,64260
2021-04,2021,4,78412
2021-05,2021,5,101997
2021-06,2021,6,102962
2021-07,2021,7,108555
2021-08,2021,8,116695
2021-09,2021,9,100414
2021-10,2021,10,74960
2021-11,2021,11,62059
2021-12,2021,12,48952
2022-01,2022,1,44398
2022-02,2022,2,54819
2022-03,2022,3,66429
2022-04,2022,4,83473
2022-05,2022,5,101404
2022-06,2022,6,120907
2022-07,2022,7,115660
2022-08,2022,8,109091
2022-09,2022,9,97837
2022-10,2022,10,85656
2022-11,2022,11,64284
2022-12,2022,12,54710
2023-01,2023,1,50701
2023-02,2023,2,52766
2023-03,2023,3,73261
2023-04,2023,4,88983
2023-05,2023,5,114865
2023-06,2023,6,130537
2023-07,2023,7,127409
2023-08,2023,8,120061
2023-09,2023,9,115266
2023-10,2023,10,84686
2023-11,2023,11,67830
2023-12,2023,12,54761
2024-01,2024,1,53765
2024-02,2024,2,61097
2024-03,2024,3,70507
2024-04,2024,4,93497
2024-05,2024,5,109594
2024-06,2024,6,129743
2024-07,2024,7,137724
2024-08,2024,8,121367
2024-09,2024,9,114082
2024-10,2024,10,90480
2024-11,2024,11,72932
2024-12,2024,12,57144
